StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q4,Q2,Q3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How often have you experienced discrimation due to your home country from fellow students?,Do you think the discrimation was intentional or ignorance based?,How strongly do you feel you have experienced discrimation due to your home country from professors or Hertie staff?,Do you think the discrimation experienced from professors or Hertie Staff was intentional or ignorance based?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}"
2024-04-19 03:36:13,2024-04-19 03:36:42,IP Address,87.167.225.182,100,28,True,2024-04-19 03:36:43,R_4dX4f6MF0KOqLqj,,,,,48.767,9.1827,anonymous,EN,Never,None,Never,Does not apply
2024-04-19 03:40:05,2024-04-19 03:40:33,IP Address,176.0.193.207,100,28,True,2024-04-19 03:40:33,R_1jyiBet4qFpXvNf,,,,,52.4891,13.4296,anonymous,EN,Never,None,Never,Does not apply
2024-04-19 03:49:46,2024-04-19 03:50:47,IP Address,176.0.208.208,100,60,True,2024-04-19 03:50:47,R_7aYPaIZcz7VJAVr,,,,,52.4239,13.4554,anonymous,EN,Rarely,Ignorance,Never,Does not apply
2024-04-19 03:57:42,2024-04-19 03:58:10,IP Address,149.233.49.116,100,27,True,2024-04-19 03:58:11,R_24kPVHUNrnZoLlP,,,,,52.5061,13.3684,anonymous,EN,Often,Ignorance,Rarely,Ignorance
2024-04-19 04:57:44,2024-04-19 04:58:13,IP Address,213.55.244.172,100,29,True,2024-04-19 04:58:14,R_2r8lcNfK3wduPDY,,,,,46.207,6.151,anonymous,EN,Rarely,Ignorance,Never,Does not apply
2024-04-19 05:21:39,2024-04-19 05:22:06,IP Address,104.151.62.50,100,27,True,2024-04-19 05:22:07,R_2WHKfxhs3mmCv4j,,,,,52.4923,13.4839,anonymous,EN,Never,None,Never,Does not apply
2024-04-20 02:17:10,2024-04-20 02:19:54,IP Address,95.91.210.10,100,164,True,2024-04-20 02:19:55,R_2CT0prkGlzUq48M,,,,,52.5042,13.4395,anonymous,EN,Never,None,Never,Does not apply
2024-04-21 03:32:57,2024-04-21 03:33:45,IP Address,84.140.145.88,100,47,True,2024-04-21 03:33:45,R_3hSF4293YnCACHb,,,,,52.5196,13.4069,anonymous,EN,Never,None,Never,Does not apply
2024-04-22 08:53:12,2024-04-22 08:53:57,IP Address,5.28.92.150,100,45,True,2024-04-22 08:53:58,R_1XM0m4QLvwlgOvD,,,,,52.4923,13.3589,anonymous,EN,Rarely,Ignorance,Never,Does not apply
2024-04-22 12:13:22,2024-04-22 12:13:41,IP Address,95.90.243.128,100,18,True,2024-04-22 12:13:42,R_7j6NPevzPMkJAEO,,,,,52.5128,13.4151,anonymous,EN,Rarely,Ignorance,Rarely,Ignorance
